recipe_name,ingredients,ingredients_parsed
Morcon,"sirloin steak, beef, eggs, carrot, tomato, tomato sauce, pickle, onion, garlic, salt, pepper, flour","['s', 'i', 'r', 'l', 'o', 'i', 'n', 's', 't', 'e', 'a', 'k', 'b', 'e', 'e', 'f', 'e', 'g', 'g', 's', 'c', 'a', 'r', 'r', 'o', 't', 't', 'o', 'm', 'a', 't', 'o', 't', 'o', 'm', 'a', 't', 'o', 's', 'a', 'u', 'c', 'e', 'p', 'i', 'c', 'k', 'l', 'e', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r', 'f', 'l', 'o', 'u', 'r']"
Beef Stew,"beef, carrot, celery, potato, paprika, ground clove, bay leaves, cornstarch, garlic, onion, beef broth, salt, pepper","['b', 'e', 'e', 'f', 'c', 'a', 'r', 'r', 'o', 't', 'c', 'e', 'l', 'e', 'r', 'y', 'p', 'o', 't', 'a', 't', 'o', 'p', 'a', 'p', 'r', 'i', 'k', 'a', 'g', 'r', 'o', 'u', 'n', 'd', 'c', 'l', 'o', 'v', 'e', 'b', 'a', 'y', 'l', 'e', 'a', 'v', 'e', 's', 'c', 'o', 'r', 'n', 's', 't', 'a', 'r', 'c', 'h', 'g', 'a', 'r', 'l', 'i', 'c', 'o', 'n', 'i', 'o', 'n', 'b', 'e', 'e', 'f', 'b', 'r', 'o', 't', 'h', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Pork Steak,"pork, soy sauce, calamansi, onion, sugar, salt, pepper","['p', 'o', 'r', 'k', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'c', 'a', 'l', 'a', 'm', 'a', 'n', 's', 'i', 'o', 'n', 'i', 'o', 'n', 's', 'u', 'g', 'a', 'r', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Sinigang,"pork, sampaloc, eggplant, okra, sitaw, radish, kangkong, onion, tomato, fish sauce, pepper","['p', 'o', 'r', 'k', 's', 'a', 'm', 'p', 'a', 'l', 'o', 'c', 'e', 'g', 'g', 'p', 'l', 'a', 'n', 't', 'o', 'k', 'r', 'a', 's', 'i', 't', 'a', 'w', 'r', 'a', 'd', 'i', 's', 'h', 'k', 'a', 'n', 'g', 'k', 'o', 'n', 'g', 'o', 'n', 'i', 'o', 'n', 't', 'o', 'm', 'a', 't', 'o', 'f', 'i', 's', 'h', 's', 'a', 'u', 'c', 'e', 'p', 'e', 'p', 'p', 'e', 'r']"
Sweet and Sour pork,"pork, bell pepper, soy sauce, onion, carrot, flour, cornstarch, vinegar, tomato ketchup, sugar, salt pepper","['p', 'o', 'r', 'k', 'b', 'e', 'l', 'l', 'p', 'e', 'p', 'p', 'e', 'r', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'o', 'n', 'i', 'o', 'n', 'c', 'a', 'r', 'r', 'o', 't', 'f', 'l', 'o', 'u', 'r', 'c', 'o', 'r', 'n', 's', 't', 'a', 'r', 'c', 'h', 'v', 'i', 'n', 'e', 'g', 'a', 'r', 't', 'o', 'm', 'a', 't', 'o', 'k', 'e', 't', 'c', 'h', 'u', 'p', 's', 'u', 'g', 'a', 'r', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Chicken Afritada,"chicken, potato, carrot, tomato sauce, hotdog, green peas, bay leaves, onion, garlic, chicken broth, sugar, salt, pepper","['c', 'h', 'i', 'c', 'k', 'e', 'n', 'p', 'o', 't', 'a', 't', 'o', 'c', 'a', 'r', 'r', 'o', 't', 't', 'o', 'm', 'a', 't', 'o', 's', 'a', 'u', 'c', 'e', 'h', 'o', 't', 'd', 'o', 'g', 'g', 'r', 'e', 'e', 'n', 'p', 'e', 'a', 's', 'b', 'a', 'y', 'l', 'e', 'a', 'v', 'e', 's', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 'c', 'h', 'i', 'c', 'k', 'e', 'n', 'b', 'r', 'o', 't', 'h', 's', 'u', 'g', 'a', 'r', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Chicken pastel,"chicken, chorizo, mushroom, table cream, potato, carrot, lemon, soy sauce, butter, pie crust, salt, pepper","['c', 'h', 'i', 'c', 'k', 'e', 'n', 'c', 'h', 'o', 'r', 'i', 'z', 'o', 'm', 'u', 's', 'h', 'r', 'o', 'o', 'm', 't', 'a', 'b', 'l', 'e', 'c', 'r', 'e', 'a', 'm', 'p', 'o', 't', 'a', 't', 'o', 'c', 'a', 'r', 'r', 'o', 't', 'l', 'e', 'm', 'o', 'n', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'b', 'u', 't', 't', 'e', 'r', 'p', 'i', 'e', 'c', 'r', 'u', 's', 't', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Fried Chicken,"chicken, flour, cornstarch, garlic powder, onion powder, pepper, baking powder, egg, salt","['c', 'h', 'i', 'c', 'k', 'e', 'n', 'f', 'l', 'o', 'u', 'r', 'c', 'o', 'r', 'n', 's', 't', 'a', 'r', 'c', 'h', 'g', 'a', 'r', 'l', 'i', 'c', 'p', 'o', 'w', 'd', 'e', 'r', 'o', 'n', 'i', 'o', 'n', 'p', 'o', 'w', 'd', 'e', 'r', 'p', 'e', 'p', 'p', 'e', 'r', 'b', 'a', 'k', 'i', 'n', 'g', 'p', 'o', 'w', 'd', 'e', 'r', 'e', 'g', 'g', 's', 'a', 'l', 't']"
Roasted Chicken,"chicken, butter, lemon, thyme, onion, stalks, pepper, salt, garlic powder","['c', 'h', 'i', 'c', 'k', 'e', 'n', 'b', 'u', 't', 't', 'e', 'r', 'l', 'e', 'm', 'o', 'n', 't', 'h', 'y', 'm', 'e', 'o', 'n', 'i', 'o', 'n', 's', 't', 'a', 'l', 'k', 's', 'p', 'e', 'p', 'p', 'e', 'r', 's', 'a', 'l', 't', 'g', 'a', 'r', 'l', 'i', 'c', 'p', 'o', 'w', 'd', 'e', 'r']"
Chicken Teriyaki,"chicken, soy sauce, sugar, maple syrup","['c', 'h', 'i', 'c', 'k', 'e', 'n', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 's', 'u', 'g', 'a', 'r', 'm', 'a', 'p', 'l', 'e', 's', 'y', 'r', 'u', 'p']"
Chicken Curry,"chicken, curry powder, potato, garlic, celery, bell pepper, green pepper, onion, ginger, coconut milk, all-purpose cream, fish sauce, pepper","['c', 'h', 'i', 'c', 'k', 'e', 'n', 'c', 'u', 'r', 'r', 'y', 'p', 'o', 'w', 'd', 'e', 'r', 'p', 'o', 't', 'a', 't', 'o', 'g', 'a', 'r', 'l', 'i', 'c', 'c', 'e', 'l', 'e', 'r', 'y', 'b', 'e', 'l', 'l', 'p', 'e', 'p', 'p', 'e', 'r', 'g', 'r', 'e', 'e', 'n', 'p', 'e', 'p', 'p', 'e', 'r', 'o', 'n', 'i', 'o', 'n', 'g', 'i', 'n', 'g', 'e', 'r', 'c', 'o', 'c', 'o', 'n', 'u', 't', 'm', 'i', 'l', 'k', 'a', 'l', 'l', 'p', 'u', 'r', 'p', 'o', 's', 'e', 'c', 'r', 'e', 'a', 'm', 'f', 'i', 's', 'h', 's', 'a', 'u', 'c', 'e', 'p', 'e', 'p', 'p', 'e', 'r']"
Rellenong Manok,"chicken, calamansi, soy sauce, pepper, egg, mayonnaise, butter, ground pork, pineapple, onion, carrot, bread crumbs, raisins, ketchup, salt, pepper","['c', 'h', 'i', 'c', 'k', 'e', 'n', 'c', 'a', 'l', 'a', 'm', 'a', 'n', 's', 'i', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'p', 'e', 'p', 'p', 'e', 'r', 'e', 'g', 'g', 'm', 'a', 'y', 'o', 'n', 'n', 'a', 'i', 's', 'e', 'b', 'u', 't', 't', 'e', 'r', 'g', 'r', 'o', 'u', 'n', 'd', 'p', 'o', 'r', 'k', 'p', 'i', 'n', 'e', 'a', 'p', 'p', 'l', 'e', 'o', 'n', 'i', 'o', 'n', 'c', 'a', 'r', 'r', 'o', 't', 'b', 'r', 'e', 'a', 'd', 'c', 'r', 'u', 'm', 'b', 's', 'r', 'a', 'i', 's', 'i', 'n', 's', 'k', 'e', 't', 'c', 'h', 'u', 'p', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Tinolang Manok,"chicken, malunggay leaves, pepper leaves, pepper, papaya, onion, garlic, ginger, fish sauce","['c', 'h', 'i', 'c', 'k', 'e', 'n', 'm', 'a', 'l', 'u', 'n', 'g', 'g', 'a', 'y', 'l', 'e', 'a', 'v', 'e', 's', 'p', 'e', 'p', 'p', 'e', 'r', 'l', 'e', 'a', 'v', 'e', 's', 'p', 'e', 'p', 'p', 'e', 'r', 'p', 'a', 'p', 'a', 'y', 'a', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 'g', 'i', 'n', 'g', 'e', 'r', 'f', 'i', 's', 'h', 's', 'a', 'u', 'c', 'e']"
Adobong Kangkong,"kangkong, onion, garlic, soy sauce, vinegar, pepper","['k', 'a', 'n', 'g', 'k', 'o', 'n', 'g', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'v', 'i', 'n', 'e', 'g', 'a', 'r', 'p', 'e', 'p', 'p', 'e', 'r']"
